,train_filename,train_category,train_manipulation
0,train_img/lp_matched_person1905.png,person,low-pass
1,train_img/blobhighmatched_firehydrant46.png,firehydrant,occlusion
2,train_img/lightcluttermatched_person1905.png,person,clutter
3,train_img/blobhighmatched_person1905.png,person,occlusion
4,train_img/lp_matched_tree2.png,tree,low-pass
5,train_img/lp_matched_firehydrant46.png,firehydrant,low-pass
6,train_img/hp_matched_person1905.png,person,high-pass
7,train_img/heavycluttermatched_person1905.png,person,clutter
8,train_img/control_banana3666.png,banana,control
9,train_img/bloblowmatched_bird259.png,bird,occlusion
10,train_img/hp_matched_cat147.png,cat,high-pass
11,train_img/control_cat147.png,cat,control
12,train_img/blobhighmatched_bird259.png,bird,occlusion
13,train_img/bloblowmatched_building95.png,building,occlusion
14,train_img/bloblowmatched_tree2.png,tree,occlusion
15,train_img/heavycluttermatched_cat147.png,cat,clutter
16,train_img/bloblowmatched_bus180.png,bus,occlusion
17,train_img/heavycluttermatched_firehydrant46.png,firehydrant,clutter
18,train_img/lightcluttermatched_tree2.png,tree,clutter
19,train_img/lightcluttermatched_cat147.png,cat,clutter
20,train_img/control_building95.png,building,control
21,train_img/control_firehydrant46.png,firehydrant,control
22,train_img/lp_matched_cat147.png,cat,low-pass
23,train_img/bloblowmatched_banana3666.png,banana,occlusion
24,train_img/blobhighmatched_bus180.png,bus,occlusion
25,train_img/blobhighmatched_building95.png,building,occlusion
26,train_img/heavycluttermatched_bird259.png,bird,clutter
27,train_img/control_bus180.png,bus,control
28,train_img/hp_matched_bird259.png,bird,high-pass
29,train_img/hp_matched_tree2.png,tree,high-pass
30,train_img/lightcluttermatched_building95.png,building,clutter
31,train_img/hp_matched_bus180.png,bus,high-pass
32,train_img/hp_matched_banana3666.png,banana,high-pass
33,train_img/bloblowmatched_cat147.png,cat,occlusion
34,train_img/heavycluttermatched_bus180.png,bus,clutter
35,train_img/lp_matched_building95.png,building,low-pass
36,train_img/lp_matched_bus180.png,bus,low-pass
37,train_img/bloblowmatched_firehydrant46.png,firehydrant,occlusion
38,train_img/blobhighmatched_banana3666.png,banana,occlusion
39,train_img/blobhighmatched_tree2.png,tree,occlusion
40,train_img/lightcluttermatched_bus180.png,bus,clutter
41,train_img/lightcluttermatched_banana3666.png,banana,clutter
42,train_img/blobhighmatched_cat147.png,cat,occlusion
43,train_img/lightcluttermatched_firehydrant46.png,firehydrant,clutter
44,train_img/hp_matched_building95.png,building,high-pass
45,train_img/hp_matched_firehydrant46.png,firehydrant,high-pass
46,train_img/lp_matched_banana3666.png,banana,low-pass
47,train_img/heavycluttermatched_tree2.png,tree,clutter
48,train_img/bloblowmatched_person1905.png,person,occlusion
49,train_img/control_bird259.png,bird,control
50,train_img/lp_matched_bird259.png,bird,low-pass
51,train_img/heavycluttermatched_building95.png,building,clutter
52,train_img/lightcluttermatched_bird259.png,bird,clutter
53,train_img/control_tree2.png,tree,control
54,train_img/heavycluttermatched_banana3666.png,banana,clutter
55,train_img/control_person1905.png,person,control
